crh_Latn,ukr
"""Olar bile ediler,bayraqtan ğayrı bir şey denişmecek"". Jurnalist Roman Boçkala ile intervyü","""Вони думали, все буде як раніше. Тільки прапор буде російський"". Інтерв’ю з журналістом Романом Бочкалою"
Qırımda makemelengen ukrain jurnalistnıñ Yesipenko Vladislavnıñ apayı mahsus hızletlernıñ qabaatluvlarına inanmay,Дружина ув’язненого у Криму українського журналіста Владислава Єсипенка не вірить у звинувачення російських спецслужб
Tintüv hronologiyası. Aqmescitteki ekinci “Hizb ut-Tahrir” davasınıñ figurantlarnıñ ekinci yıllığına ,Хронологія обшуку. До другої річниці арешту фігурантів другої сімферопольської «справи Хізб ут-Тахрір»
"""Ukrain saylavı"" ve ""OPZJ"" ofislerinde tintüvler, şübe bildirüv ve buña cevap | Belli olğanı","Обшуки СБУ в офісі “Українського вибору” та “ОПЗЖ”, оголошення підозри у держзраді трьом поплічникам Медведчука та їх реакція | Що відомо"
İşğalciler tabiat qorçalav yerlerini qura ve yarımadanı rejim obyektine çevire. Belli olğanı,Окупанти забудовують природоохоронні зони та перетворюють півострів на режимний об'єкт. Що відомо
Ukrain sportu pandemiya şaraitinde ,Український спорт в умовах пандемії
İşğal etilgen Qırımda jurnalist Vladislav Yesipenkonıñ tutulması. Belli olğanı ,Затримання в окупованому Криму журналіста Владислава Єсипенка. Все що відомо
Tavriya Milliy universitetinde rektor saylavlarnı başqa künge qaldırğanlar. Neler oluna,У Таврійському національному університеті перенесли вибори ректора. Що відбувається 
Rusiyenen Qırımnıñ qanunsız işğaline yedi yıl. Neler olıp keçti,Сім років незаконній окупації Криму Росією. Що відбувалося
Qırımdaki “referendumnıñ” qanunsız dep sayılğanına 5 sebebi,"5 причин, чому «референдум» в Криму є незаконним"
"Rusiye, Qaradeñiz bahriyesiniñ logistik merkezini Aqyardan Novorossiyskke keçire",Росія переносить логістичний центр Чорноморського флоту зі Севастополя до Новоросійська
Ukraina cebesinde USQ qırımtatar arbiyi Timur Mateyev elâk olğan,На фронті в Україні загинув кримськотатарський боєць ЗСУ Тимур Матеєв
"Meclis, onı qırımtatar halqnı temsil etken organı olaraq tanıması aqqında vesiqalarnıñ ilk paketini alıp bergen",Меджліс подав перший пакет документів про визнання його як представницького органу кримськотатарського народу
Qırımnı bu yıl serbest etmege ihtimali bar - Volles,Існує можливість деокупувати Крим цього року — Воллес
İşğalcılar Qırımdan siyasiy mabuslarnıñ qısımını Çonğardaki resmiy olmağan taqiqat tevqifhanesine alıp keçireler,Окупанти переводять частину політвʼязнів з Криму до неофіційного СІЗО у Чонгарі
Qırımda “Qırım Titanı” himik zavodınıñ territoriyasını minalaylar - Herson AVM,В Криму мінують територію хімзаводу «Кримський Титан» — Херсонська ОВА
Qırımnen demiryol bağını tuzete edi: Hersondan sabıq uquq qoruyıcısını 12 yıl bekley,Налагоджував залізничне сполучення з Кримом: експравоохоронцю з Херсона загрожує до 12 років
Qırımnıñ işğal neticesinde 15 bala elâk olğan - QRM,Внаслідок окупації Криму загинуло 15 дітей — КРЦ 
"RF devlet duması, Azaq deñizi ve Keriç körfezi aqqında Ukrainanen añlaşmasınıñ toqtatılmasını ilân etken | YAÑARTILA",Держдума РФ денонсувала договір з Україною про Азовське море та Керченську протоку | ОНОВЛЮЄТЬСЯ
Qırım iş qadınnı VİT’dan ukrain balalarnıñ hırsızlavı içün mahküm etecekler,Кримську підприємицю судитимуть за викрадення українських дітей з ТОТ
İşğalcılar “Hizb ut-Tahrir davasında” ekinci Aqyar gruppasınıñ iştirakçılarına üküm çıqarğanlar,Окупанти оголосили вирок фігурантам другої Севастопольської групи у «справі Хізб ут-Тахрір»
Yaltada işğalcılar ukrainlerden dairelerni alalar - Baş ştabı,У Ялті окупанти відбирають квартири в українців — Генштаб
"DTB, “Artekniñ” zapt etüvi içün Qırımdan hainine şübeni ilân etken",ДБР оголосили підозру зраднику з Криму за захоплення «Артеку»
