crh_Cyrl,eng
"Исаргъа назар ташлагъанынен къальбинде юва къургъан къуванчы бир аньде гъайып олып кетти, къальби эфкяргъа толду.","He surveyed the fence, and all gladness left him and a deep melancholy settled down upon his spirit."
"Отуз ярд узунлыгъында, докъуз фут юксеклигинде тахта исар!",Thirty yards of board fence nine feet high.
"Аят мантыкъсыз, яшайыш агъыр юк олып корюнди.","Life to him seemed hollow, and existence but a burden."
"Терен кокюс кечирип, фырчыны киречке батырды, энъ юксектеки тахтанынъ устюнде юргюзди, сонъра бу арекетини текрарлады ве токътады: сыланмагъан къоджаман исарнынъ тахталары янында мынавы беяз ёлачыкъ не! Кейфи сонъ дередже бозулгъан Том терек астына чевилип отурды.","Sighing, he dipped his brush and passed it along the topmost plank; repeated the operation; did it again; compared the insignificant whitewashed streak with the far-reaching continent of unwhitewashed fence, and sat down on a tree-box discouraged."
"Шу арада ёл къапыдан Джим чапып чыкъты, онынъ къолунда тенеке къопкъа бар эди,о «Буффалонынъ къызлары» тюркюсини йырлай эди.","Jim came skipping out at the gate with a tin pail, and singing Buffalo Gals."
"Том шеэр насосына барып сув кетирмекни олмайджакъ бир иш деп сая эди, лякин шимди о, бу ишке башкъа козьнен бакъты.","Bringing water from the town pump had always been hateful work in Tom's eyes, before, but now it did not strike him so."
Насос башында эр даим адам чокъ ола.,He remembered that there was company at the pump.
" Акътенлилер, мулатлар, къаратенлилер; огъланчыкълар ве къызчыкълар невбет беклеп отуралар, раатланалар, оюнджакъларынен алыш-вериш япалар, къавгъа этелер, котеклешелер, чаяланалар.","White, mulatto, and negro boys and girls were always there waiting their turns, resting, trading playthings, quarrelling, fighting, skylarking."
"Насос оларнынъ эвинден олса-олса юз элли метр авлакътадыр, амма Джим анда бир саат къадар алдана, эр кереси оны барып чагъырып кельмек керек ола.","And he remembered that although the pump was only a hundred and fifty yards off, Jim never got back with a bucket of water under an hour—and even then somebody generally had to go after him."
"– Эшитесинъми, Джим, – деди Том, – истесенъ, исарнынъ мынавы ерчигини сыла, мен исе сувгъа барып келейим.","Tom said:""Say, Jim, I'll fetch the water if you'll whitewash some."""
"Джим башыны саллады: – Олмаз, масса Том!","Jim shook his head and said: ""Can't, Mars Tom."
"Кала Мала ханым-эфенди ёлда-изде кимсенинъ янында токътама, дос-догъру насоскъа барып кель, деди.","Ole missis, she tole me I got to go an' git dis water an' not stop foolin' roun' wid anybody."
